PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1255_1144.tif,482.56,8628,81.6,150.87,329.28,145,57.01,151,84,104.81,396.13,9941,414.91,148.88,76.47,152.16,81.6,150.87,153,,1.47,1.04,0.7,2.54,,0.47,1.95,0.86,0.87,,0.68,0.44,0.56,104.81,0.82,0.87,,0.47,0.51,0.82,0.87,,0.47,0.7,0.47,0.54,1.85,0.15
S1255_1146.tif,359.61,5791,87.97,90.89,269.76,86,64.21,114,79,85.87,306.78,6421,307.61,106.1,70.72,113.6,87.97,90.89,115,,1.33,1.01,0.72,1.34,,0.56,1.5,0.86,0.9,,0.75,0.31,0.69,85.87,0.85,0.9,,0.56,0.67,0.85,0.9,,0.57,0.72,0.56,0.97,1.03,0.23
S1255_1148 (2).tif,527.39,6447,58.89,171.95,284.63,169,37.56,172,60,90.6,413.76,8030,407.25,172.94,50.98,172.05,58.89,171.95,173,,1.85,1.14,0.64,4.5,,0.29,3.39,0.77,0.8,,0.54,0.65,0.35,90.6,0.78,0.8,,0.29,0.29,0.78,0.8,,0.28,0.64,0.29,0.34,2.92,0.05
S1255_1148.tif,373.85,5142,73.05,111.53,254.2,93,47.05,122,73,80.91,315.28,5998,318.59,104.23,66.25,122.64,73.05,111.53,124,,1.47,1.01,0.63,1.98,,0.46,1.57,0.85,0.86,,0.68,0.4,0.6,80.91,0.84,0.86,,0.46,0.64,0.84,0.86,,0.44,0.63,0.46,0.65,1.53,0.13
S1255_1156.tif,317.66,4275,66,94,231.78,87,47.56,98,67,73.78,277.82,4857,301.01,93.5,63.94,101.1,66,94,100,,1.37,0.99,0.69,1.83,,0.53,1.46,0.95,0.88,,0.73,0.32,0.68,73.78,0.87,0.88,,0.53,0.68,0.87,0.88,,0.53,0.69,0.53,0.7,1.42,0.2
S1255_1164 (2).tif,493.39,8904,103.3,136.32,334.5,132,65.61,136,106,106.48,403.79,10564,432.59,129.62,97.46,141.01,103.3,136.32,139,,1.48,1.03,0.63,2.01,,0.46,1.33,0.88,0.84,,0.68,0.22,0.78,106.48,0.82,0.84,,0.46,0.75,0.82,0.84,,0.57,0.63,0.46,0.76,1.32,0.17
S1255_1174 (2).tif,504.11,7157,90.83,133.56,299.9,118,54.84,139,91,95.46,382.09,8955,397.62,126.97,82.19,140.81,90.83,133.56,142,,1.68,1.12,0.59,2.15,,0.35,1.54,0.79,0.8,,0.59,0.35,0.65,95.46,0.76,0.8,,0.35,0.65,0.76,0.8,,0.46,0.59,0.35,0.68,1.47,0.1
S1255_1174.tif,446.72,9406,103.55,129.96,343.8,129,72.1,135,109,109.44,394.96,10751,411.19,133.57,93.1,136.48,103.55,129.96,137,,1.3,0.96,0.7,1.79,,0.59,1.43,0.92,0.87,,0.77,0.19,0.81,109.44,0.88,0.87,,0.59,0.7,0.88,0.87,,0.64,0.7,0.59,0.8,1.26,0.27
S1255_1176 (2).tif,387.65,6266,84.25,103.55,280.61,104,61.43,105,85,89.32,321.22,7123,320.39,99.48,82.71,105.5,84.25,103.55,106,,1.38,1.03,0.72,1.69,,0.52,1.2,0.83,0.88,,0.72,0.19,0.81,89.32,0.83,0.88,,0.52,0.83,0.83,0.88,,0.72,0.72,0.52,0.81,1.23,0.27
S1255_1178 (2).tif,459.3,9592,90.86,143.42,347.18,144,66.92,142,95,110.51,398.19,10530,403.59,137.39,91.2,143.62,90.86,143.42,145,,1.32,0.98,0.74,2.15,,0.57,1.51,0.88,0.91,,0.76,0.33,0.67,110.51,0.87,0.91,,0.57,0.66,0.87,0.91,,0.59,0.74,0.57,0.63,1.58,0.25
