PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1159_1412.tif,784.89,34201,179.94,248.5,655.58,241,137.91,260,180,208.68,750.15,35995,795.19,259.32,175.92,271.6,179.94,248.5,272,,1.2,0.92,0.76,1.75,,0.7,1.47,1.01,0.95,,0.84,0.31,0.69,208.68,0.96,0.95,,0.7,0.68,0.96,0.95,,0.59,0.76,0.7,0.72,1.38,0.32
S1159_1416.tif,770.57,28347,167.04,263.6,596.84,253,107.72,267,175,189.98,733.84,31467,769.61,247.48,162.36,268.33,167.04,263.6,269,,1.29,0.89,0.64,2.35,,0.6,1.52,1,0.9,,0.77,0.34,0.66,189.98,0.95,0.9,,0.6,0.66,0.95,0.9,,0.5,0.64,0.6,0.63,1.58,0.19
S1159_1418 (2).tif,730.38,27611,152.93,243.47,589.04,229,113.32,247,154,187.5,681.53,29630,689.91,235.37,153.94,251.98,152.93,243.47,253,,1.24,0.92,0.74,2.02,,0.65,1.53,0.94,0.93,,0.81,0.38,0.62,187.5,0.93,0.93,,0.65,0.65,0.93,0.93,,0.55,0.74,0.65,0.63,1.59,0.27
S1159_1420 (2).tif,876.34,38911,163.23,308.2,699.26,310,125.99,314,168,222.58,842.66,41830,888.2,323.85,156.27,323.63,163.23,308.2,325,,1.25,0.93,0.77,2.46,,0.64,2.07,1.01,0.93,,0.8,0.46,0.54,222.58,0.96,0.93,,0.64,0.48,0.96,0.93,,0.47,0.77,0.64,0.53,1.89,0.23
S1159_1422.tif,574.64,17180,154.56,158.26,464.64,146,112.92,186,148,147.9,540.52,19098,548.93,169.55,133.37,186.59,154.56,158.26,188,,1.24,0.92,0.7,1.29,,0.65,1.27,0.96,0.9,,0.81,0.2,0.8,147.9,0.94,0.9,,0.65,0.79,0.94,0.9,,0.63,0.7,0.65,0.98,1.02,0.29
S1159_1426 (2).tif,560.78,16776,135.75,169.77,459.14,167,99.18,168,138,146.15,535.85,18785,554.93,174.34,131.97,176.68,135.75,169.77,177,,1.22,0.92,0.73,1.68,,0.67,1.32,0.99,0.89,,0.82,0.18,0.82,146.15,0.96,0.89,,0.67,0.76,0.96,0.89,,0.68,0.73,0.67,0.8,1.25,0.33
S1159_1426 (3).tif,578.84,18702,160.05,160.39,484.78,160,117.59,184,147,154.31,543.63,19881,573.15,178.15,139.12,186.12,160.05,160.39,186,,1.19,0.9,0.73,1.36,,0.7,1.28,0.99,0.94,,0.84,0.2,0.8,154.31,0.94,0.94,,0.7,0.78,0.94,0.94,,0.69,0.73,0.7,1,1,0.35
S1159_1426 (4).tif,811.62,33473,178.67,237.26,648.56,236,142.21,239,193,206.44,753.32,36074,780.75,236.17,187.59,252.42,178.67,237.26,253,,1.25,0.98,0.79,1.66,,0.64,1.26,0.96,0.93,,0.8,0.19,0.81,206.44,0.93,0.93,,0.64,0.79,0.93,0.93,,0.67,0.79,0.64,0.75,1.33,0.34
S1159_1428 (2).tif,797.96,32433,173.56,257.84,638.41,242,126,268,174,203.21,727.64,34350,721.55,255.28,163.81,269.09,173.56,257.84,270,,1.25,0.92,0.72,1.92,,0.64,1.56,0.9,0.94,,0.8,0.35,0.65,203.21,0.91,0.94,,0.64,0.64,0.91,0.94,,0.57,0.72,0.64,0.67,1.49,0.26
S1159_1428.tif,589.77,18689,141.29,186.18,484.62,187,101.47,197,139,154.26,569.49,20202,601.57,189.76,130.81,200.04,141.29,186.18,201,,1.22,0.9,0.71,1.84,,0.68,1.45,1.02,0.93,,0.82,0.29,0.71,154.26,0.97,0.93,,0.68,0.69,0.97,0.93,,0.59,0.71,0.68,0.76,1.32,0.29
