PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1272_828.tif,466.56,9666,106.02,136.81,348.52,135,72.33,150,102,110.94,420.56,10687,464.99,141.77,95.48,151.94,106.02,136.81,152,,1.34,0.96,0.67,1.87,,0.56,1.48,1,0.9,,0.75,0.32,0.68,110.94,0.9,0.9,,0.56,0.67,0.9,0.9,,0.53,0.67,0.56,0.77,1.29,0.2
S1272_842.tif,860.79,39469,204.97,261.81,704.26,249,151.29,284,201,224.17,814.63,41458,857.19,269.5,193.66,286.97,204.97,261.81,286,,1.22,0.92,0.74,1.65,,0.67,1.39,1,0.95,,0.82,0.29,0.71,224.17,0.95,0.95,,0.67,0.72,0.95,0.95,,0.61,0.74,0.67,0.78,1.28,0.3
S1272_844 (3).tif,464.42,12085,97.04,162.75,389.7,162,73.96,163,98,124.04,453.69,12885,449.25,166.06,94.89,165.72,97.04,162.75,166,,1.19,0.89,0.77,2.19,,0.7,1.75,0.97,0.94,,0.84,0.4,0.6,124.04,0.98,0.94,,0.7,0.57,0.98,0.94,,0.56,0.77,0.7,0.6,1.68,0.3
S1272_844.tif,562.5,11699,121.62,135.91,383.42,130,88.94,165,129,122.05,461.91,13364,478.04,149.58,105.88,165.13,121.62,135.91,166,,1.47,1.09,0.71,1.46,,0.46,1.41,0.85,0.88,,0.68,0.22,0.78,122.05,0.82,0.88,,0.46,0.71,0.82,0.88,,0.55,0.71,0.46,0.89,1.12,0.18
S1272_848.tif,435.75,8245,62.34,166.66,321.88,168,49.11,166,63,102.46,416.43,8885,417.36,173.11,62.64,166.68,62.34,166.66,168,,1.35,0.95,0.79,3.42,,0.55,2.76,0.96,0.93,,0.74,0.62,0.38,102.46,0.96,0.93,,0.55,0.36,0.96,0.93,,0.38,0.79,0.55,0.37,2.67,0.16
S1272_850 (2).tif,554.36,15219,135.38,156.56,437.32,146,97.75,173,139,139.2,492.66,16591,502.91,161.5,123.49,173.14,135.38,156.56,174,,1.27,0.95,0.72,1.49,,0.62,1.31,0.91,0.92,,0.79,0.2,0.8,139.2,0.89,0.92,,0.62,0.76,0.89,0.92,,0.65,0.72,0.62,0.86,1.16,0.29
S1272_850 (3).tif,552.84,13835,104.89,209.77,416.96,167,65.69,213,108,132.72,518.94,15109,548.77,193.48,95.81,213.95,104.89,209.77,215,,1.33,0.88,0.63,2.54,,0.57,2.02,0.99,0.92,,0.75,0.49,0.51,132.72,0.94,0.92,,0.57,0.5,0.94,0.92,,0.38,0.63,0.57,0.5,2,0.14
S1272_850.tif,598.74,15994,148.63,162.96,448.32,159,108.52,196,143,142.7,550.72,18836,577.44,179.87,127.07,196.42,148.63,162.96,197,,1.34,0.96,0.66,1.47,,0.56,1.42,0.96,0.85,,0.75,0.27,0.73,142.7,0.92,0.85,,0.56,0.71,0.92,0.85,,0.53,0.66,0.56,0.91,1.1,0.2
S1272_852 (2).tif,588.58,13445,105.12,176.18,411.04,177,76.2,176,109,130.84,490.54,15391,503.61,176.65,102.18,177.07,105.12,176.18,178,,1.43,1.05,0.73,2.32,,0.49,1.73,0.86,0.87,,0.7,0.38,0.62,130.84,0.83,0.87,,0.49,0.58,0.83,0.87,,0.55,0.73,0.49,0.6,1.68,0.19
S1272_852.tif,468.42,10784,120.52,125.43,368.12,120,86.48,144,116,117.18,423.5,11894,437.27,131.77,110.18,144.76,120.52,125.43,145,,1.27,0.95,0.71,1.39,,0.62,1.2,0.93,0.91,,0.79,0.19,0.81,117.18,0.9,0.91,,0.62,0.84,0.9,0.91,,0.66,0.71,0.62,0.96,1.04,0.29
S1272_858 pano.tif,554.5,16870,113.58,197.73,460.43,193,85.46,202,112,146.56,533.47,17874,529.12,204.2,107.09,203.81,113.58,197.73,205,,1.2,0.89,0.75,2.26,,0.69,1.91,0.95,0.94,,0.83,0.45,0.55,146.56,0.96,0.94,,0.69,0.52,0.96,0.94,,0.52,0.75,0.69,0.57,1.74,0.27
S1272_858.tif,518.8,12939,127.04,131.51,403.23,130,101.17,133,130,128.35,455.93,14326,453.4,135.37,125.13,145.75,127.04,131.51,146,,1.29,1,0.77,1.29,,0.6,1.08,0.87,0.9,,0.78,0.02,0.98,128.35,0.88,0.9,,0.6,0.92,0.88,0.9,,0.78,0.77,0.6,0.97,1.04,0.36
S1272_860.tif,528.56,14605,110.6,174.15,428.41,167,83.77,177,116,136.37,498.23,15671,499.83,170.93,112.66,177.65,110.6,174.15,179,,1.23,0.93,0.76,1.99,,0.66,1.52,0.95,0.93,,0.81,0.34,0.66,136.37,0.94,0.93,,0.66,0.66,0.94,0.93,,0.59,0.76,0.66,0.64,1.57,0.29
S1272_862 (2).tif,376.37,8128,99.12,105.63,319.59,106,77.39,106,99,101.73,354.37,8595,357.76,111.86,95.21,116.95,99.12,105.63,117,,1.18,0.92,0.78,1.37,,0.72,1.17,0.95,0.95,,0.85,0.07,0.93,101.73,0.94,0.95,,0.72,0.85,0.94,0.95,,0.76,0.78,0.72,0.94,1.07,0.42
S1272_872.tif,682.24,20749,140.06,217.17,510.63,214,95.49,222,140,162.54,614.83,22342,648.18,219.6,125.36,224.17,140.06,217.17,225,,1.34,0.95,0.68,2.24,,0.56,1.75,0.95,0.93,,0.75,0.37,0.63,162.54,0.9,0.93,,0.56,0.57,0.9,0.93,,0.53,0.68,0.56,0.64,1.55,0.2
