PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1229_1048.tif,615.01,16349,102.87,209.8,453.26,199,77.91,210,105,144.28,556.08,18042,589.35,208.47,104.96,214.95,102.87,209.8,216,,1.36,0.98,0.76,2.55,,0.54,1.99,0.96,0.91,,0.74,0.5,0.5,144.28,0.9,0.91,,0.54,0.5,0.9,0.91,,0.45,0.76,0.54,0.49,2.04,0.19
S1229_1050.tif,425.5,10087,95.18,145.83,356.03,143,69.17,147,96,113.33,405.85,10535,420.65,144.26,91.97,148.14,95.18,145.83,149,,1.2,0.88,0.73,2.07,,0.7,1.57,0.99,0.96,,0.84,0.35,0.65,113.33,0.95,0.96,,0.7,0.64,0.95,0.96,,0.59,0.73,0.7,0.65,1.53,0.3
S1229_1052.tif,564.52,10933,72.9,241.84,370.66,239,45.05,242,76,117.98,548.27,12390,565.52,228.18,66.42,241.9,72.9,241.84,242,,1.52,0.9,0.62,5.31,,0.43,3.44,1,0.88,,0.66,0.69,0.31,117.98,0.97,0.88,,0.43,0.29,0.97,0.88,,0.24,0.62,0.43,0.3,3.32,0.06
S1229_1060 (2).tif,421.55,11730,120.4,123.27,383.93,123,94.8,132,116,122.21,415.4,12068,408.4,127.93,117.33,132.77,120.4,123.27,134,,1.1,0.86,0.79,1.3,,0.83,1.09,0.97,0.97,,0.91,0.12,0.88,122.21,0.99,0.97,,0.83,0.92,0.99,0.97,,0.85,0.79,0.83,0.98,1.02,0.56
S1229_1064 (2).tif,583.71,18705,142.22,187.88,484.82,180,99.2,210,138,154.32,578.06,20072,601.65,200.46,127.32,210.87,142.22,187.88,211,,1.2,0.88,0.7,1.81,,0.69,1.57,1.03,0.93,,0.83,0.34,0.66,154.32,0.99,0.93,,0.69,0.64,0.99,0.93,,0.54,0.7,0.69,0.76,1.32,0.26
S1229_1064 (3).tif,559.73,9835,86.38,201.23,351.55,198,48.86,201,91,111.9,498.96,12621,546.58,198.97,78.37,201.37,86.38,201.23,202,,1.59,0.97,0.57,4.05,,0.39,2.54,0.98,0.78,,0.63,0.55,0.45,111.9,0.89,0.78,,0.39,0.39,0.89,0.78,,0.31,0.57,0.39,0.43,2.33,0.07
S1229_1068 (2).tif,269.87,3415,59.41,89.3,207.16,87,38.18,94,61,65.94,254.79,3801,273.06,83.1,55.48,94.97,59.41,89.3,96,,1.3,0.91,0.64,2.28,,0.59,1.5,1.01,0.9,,0.77,0.35,0.65,65.94,0.94,0.9,,0.59,0.67,0.94,0.9,,0.48,0.64,0.59,0.67,1.5,0.18
S1229_1068.tif,652.28,18632,161.55,170.21,483.88,149,115.45,181,175,154.02,566.56,21833,589.95,163.9,159.28,188.96,161.55,170.21,182,,1.35,0.98,0.68,1.29,,0.55,1.03,0.9,0.85,,0.74,0.03,0.97,154.02,0.87,0.85,,0.55,0.97,0.87,0.85,,0.66,0.68,0.55,0.95,1.05,0.25
S1229_1070 (2).tif,574.98,17573,124.23,187.46,469.92,183,93.89,189,126,149.58,544.6,18493,573.9,184.21,126.33,191.16,124.23,187.46,190,,1.22,0.92,0.75,1.95,,0.67,1.46,1,0.95,,0.82,0.33,0.67,149.58,0.95,0.95,,0.67,0.69,0.95,0.95,,0.61,0.75,0.67,0.66,1.51,0.31
S1229_1070.tif,531.09,16344,126.99,163.74,453.19,163,99.96,165,129,144.26,509.47,17059,520.9,168.66,126.6,173.85,126.99,163.74,169,,1.17,0.91,0.79,1.63,,0.73,1.33,0.98,0.96,,0.85,0.22,0.78,144.26,0.96,0.96,,0.73,0.75,0.96,0.96,,0.69,0.79,0.73,0.78,1.29,0.39
S1229_1072.tif,614.52,13168,87.6,209.76,406.78,206,62.59,210,89,129.48,521.41,15048,519.89,214.95,82.03,210.88,87.6,209.76,212,,1.51,1.03,0.72,3.29,,0.44,2.62,0.85,0.88,,0.66,0.58,0.42,129.48,0.85,0.88,,0.44,0.38,0.85,0.88,,0.38,0.72,0.44,0.42,2.39,0.12
S1229_1076 (2).tif,593.51,20768,163.31,165.69,510.86,154,125.96,200,151,162.61,566.93,21613,562.6,187.99,142.38,201.38,163.31,165.69,202,,1.16,0.9,0.77,1.22,,0.74,1.32,0.95,0.96,,0.86,0.25,0.76,162.61,0.96,0.96,,0.74,0.76,0.96,0.96,,0.65,0.77,0.74,0.99,1.01,0.37
S1229_1076.tif,358.05,5956,67,122,273.58,124,49.06,122,67,87.08,321.18,6423,328.09,121.1,63.8,123.97,67,122,125,,1.31,0.95,0.73,2.53,,0.58,1.9,0.92,0.93,,0.76,0.45,0.55,87.08,0.9,0.93,,0.58,0.53,0.9,0.93,,0.49,0.73,0.58,0.55,1.82,0.21
S1229_1078.tif,354.39,5886,66,123,271.97,124,48.01,123,67,86.57,320.01,6388,329.39,120.79,63.22,124.46,66,123,126,,1.3,0.94,0.73,2.58,,0.59,1.91,0.93,0.92,,0.77,0.46,0.54,86.57,0.9,0.92,,0.59,0.52,0.9,0.92,,0.48,0.73,0.59,0.54,1.86,0.21
S1229_1084.tif,465.73,10553,124.49,129.01,364.16,127,82.62,150,111,115.92,432.86,11770,456.79,147.49,99.26,153.47,124.49,129.01,153,,1.28,0.92,0.66,1.54,,0.61,1.49,0.98,0.9,,0.78,0.26,0.74,115.92,0.93,0.9,,0.61,0.67,0.93,0.9,,0.57,0.66,0.61,0.97,1.04,0.23
