PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1159_1456.tif,823.09,33506,147.03,283.11,648.88,278,118.5,284,151,206.55,771.23,35973,777.91,292.09,149.55,286.33,147.03,283.11,287,,1.27,0.96,0.8,2.35,,0.62,1.95,0.95,0.93,,0.79,0.47,0.53,206.55,0.94,0.93,,0.62,0.51,0.94,0.93,,0.52,0.8,0.62,0.52,1.93,0.26
S1159_1474.tif,803.45,33546,212.03,215.66,649.27,214,158.13,265,219,206.67,767.13,36428,813.27,239.65,193.32,267.66,212.03,215.66,265,,1.24,0.94,0.73,1.35,,0.65,1.24,1.01,0.92,,0.81,0.17,0.83,206.67,0.95,0.92,,0.65,0.81,0.95,0.92,,0.6,0.73,0.65,0.98,1.02,0.29
S1191_840 (2).tif,602.74,20663,160.87,163,509.57,156,128.57,178,171,162.2,561.51,22138,582.84,169.49,161.38,185.37,160.87,163,180,,1.18,0.93,0.79,1.21,,0.71,1.05,0.97,0.93,,0.85,0.04,0.96,162.2,0.93,0.93,,0.71,0.95,0.93,0.93,,0.77,0.79,0.71,0.99,1.01,0.43
S1191_844.tif,452.07,8748,106.72,117.55,331.56,112,74.51,132,103,105.54,381.02,9796,378.76,123.61,93.46,134.33,106.72,117.55,135,,1.36,1.01,0.7,1.5,,0.54,1.32,0.84,0.89,,0.73,0.22,0.78,105.54,0.84,0.89,,0.54,0.76,0.84,0.89,,0.62,0.7,0.54,0.91,1.1,0.23
S1191_858 (2).tif,773.78,14844,101.93,239.5,431.9,235,65.53,244,106,137.48,644.36,21246,680.69,270.48,90.18,249.16,101.93,239.5,250,,1.79,1.13,0.61,3.59,,0.31,3,0.88,0.7,,0.56,0.57,0.43,137.48,0.83,0.7,,0.31,0.33,0.83,0.7,,0.3,0.61,0.31,0.43,2.35,0.06
S1191_858.tif,649.61,19614,131.41,213.84,496.46,214,91.54,212,135,158.03,611.19,21347,654.62,212.39,127.52,220.73,131.41,213.84,217,,1.31,0.94,0.7,2.34,,0.58,1.67,1.01,0.92,,0.76,0.36,0.64,158.03,0.94,0.92,,0.58,0.6,0.94,0.92,,0.51,0.7,0.58,0.61,1.63,0.21
S1191_884.tif,611.43,17103,122.97,197.64,463.6,176,88.21,212,126,147.57,564.01,19024,590.87,199.08,116.62,213.28,122.97,197.64,215,,1.32,0.95,0.7,2,,0.57,1.71,0.97,0.9,,0.76,0.41,0.59,147.57,0.92,0.9,,0.57,0.59,0.92,0.9,,0.48,0.7,0.57,0.62,1.61,0.19
S1229_1004 (3).tif,497.97,8320,105.41,112.02,323.35,111,77.11,127,117,102.92,384.56,9905,388.39,116.43,95.54,127.26,105.41,112.02,128,,1.54,1.15,0.7,1.44,,0.42,1.22,0.78,0.84,,0.65,0.08,0.92,102.92,0.77,0.84,,0.42,0.82,0.77,0.84,,0.65,0.7,0.42,0.94,1.06,0.19
S1229_1006.tif,386.43,5798,67,141,269.93,138,40.92,141,69,85.92,353.91,6353,395.77,134.84,62.35,141.35,67,141,143,,1.43,0.93,0.61,3.37,,0.49,2.16,1.02,0.91,,0.7,0.51,0.49,85.92,0.92,0.91,,0.49,0.46,0.92,0.91,,0.37,0.61,0.49,0.48,2.1,0.11
S1229_1046 (2).tif,263.72,4568,72.64,80.86,239.59,81,56.13,84,72,76.26,259.38,4731,259.23,81.81,71.83,85.69,72.64,80.86,85,,1.1,0.86,0.78,1.44,,0.83,1.14,0.98,0.97,,0.91,0.14,0.86,76.26,0.98,0.97,,0.83,0.88,0.98,0.97,,0.79,0.78,0.83,0.9,1.11,0.51
S1229_1048.tif,615.01,16349,102.87,209.8,453.26,199,77.91,210,105,144.28,556.08,18042,589.35,208.47,104.96,214.95,102.87,209.8,216,,1.36,0.98,0.76,2.55,,0.54,1.99,0.96,0.91,,0.74,0.5,0.5,144.28,0.9,0.91,,0.54,0.5,0.9,0.91,,0.45,0.76,0.54,0.49,2.04,0.19
S1255_1128.tif,533.53,12919,114.21,156.47,402.92,149,84.03,160,120,128.25,461.79,14430,479.46,150.35,114.1,162.22,114.21,156.47,161,,1.32,0.99,0.72,1.77,,0.57,1.32,0.9,0.9,,0.76,0.25,0.75,128.25,0.87,0.9,,0.57,0.76,0.87,0.9,,0.63,0.72,0.57,0.73,1.37,0.26
S1255_1192 (3).tif,392.03,8364,88.55,127.32,324.2,121,65.45,130,93,103.2,377.2,9081,392.22,126.41,89.32,132.25,88.55,127.32,132,,1.21,0.91,0.74,1.85,,0.68,1.42,1,0.92,,0.83,0.28,0.72,103.2,0.96,0.92,,0.68,0.71,0.96,0.92,,0.61,0.74,0.68,0.7,1.44,0.31
S1255_1206.tif,457.53,5699,44.69,198.09,267.61,193,28.65,198,46,85.18,437.43,6556,425.16,188.19,39.64,198.21,44.69,198.09,199,,1.71,0.94,0.64,6.74,,0.34,4.75,0.93,0.87,,0.58,0.77,0.23,85.18,0.96,0.87,,0.34,0.21,0.96,0.87,,0.18,0.64,0.34,0.23,4.43,0.04
S1255_1212 (2).tif,295.81,4867,62.89,106.74,247.31,104,45.14,108,63,78.72,283.76,5148,278.27,104.39,59.87,108.56,62.89,106.74,110,,1.2,0.87,0.73,2.3,,0.7,1.74,0.94,0.95,,0.84,0.42,0.58,78.72,0.96,0.95,,0.7,0.57,0.96,0.95,,0.53,0.73,0.7,0.59,1.7,0.27
S1255_1238 (2).tif,689.01,14179,119.5,205.25,422.11,202,69.83,206,120,134.36,569.1,18761,601.28,199.41,103.34,210.79,119.5,205.25,212,,1.63,1.06,0.58,2.89,,0.38,1.93,0.87,0.76,,0.61,0.42,0.58,134.36,0.83,0.76,,0.38,0.52,0.83,0.76,,0.41,0.58,0.38,0.58,1.72,0.09
S1255_1242.tif,356.82,6587,91.98,100.22,287.71,97,65.56,103,96,91.58,333.89,7441,344.63,99.93,89.06,113.46,91.98,100.22,114,,1.24,0.93,0.71,1.48,,0.65,1.12,0.97,0.89,,0.81,0.07,0.93,91.58,0.94,0.89,,0.65,0.89,0.94,0.89,,0.65,0.71,0.65,0.92,1.09,0.3
S1272_806.tif,479.59,8358,71.85,176.08,324.08,163,47.64,179,72,103.16,435.99,9708,459.82,173,65.18,180.24,71.85,176.08,181,,1.48,0.97,0.66,3.42,,0.46,2.65,0.96,0.86,,0.68,0.6,0.4,103.16,0.91,0.86,,0.46,0.38,0.91,0.86,,0.33,0.66,0.46,0.41,2.45,0.1
S1272_810.tif,482.66,13476,111.42,168.19,411.51,157,79.83,173,110,130.99,468.27,14038,468.51,168.48,103.64,173.1,111.42,168.19,174,,1.17,0.86,0.72,1.97,,0.73,1.63,0.97,0.96,,0.85,0.36,0.64,130.99,0.97,0.96,,0.73,0.62,0.97,0.96,,0.57,0.72,0.73,0.66,1.51,0.3
S1272_862 (2).tif,376.37,8128,99.12,105.63,319.59,106,77.39,106,99,101.73,354.37,8595,357.76,111.86,95.21,116.95,99.12,105.63,117,,1.18,0.92,0.78,1.37,,0.72,1.17,0.95,0.95,,0.85,0.07,0.93,101.73,0.94,0.95,,0.72,0.85,0.94,0.95,,0.76,0.78,0.72,0.94,1.07,0.42
S1272_884 (2).tif,459.63,10503,111.92,129.8,363.3,129,80.78,131,113,115.64,407.65,11426,425.22,128.74,107.77,135.81,111.92,129.8,134,,1.27,0.95,0.72,1.6,,0.62,1.19,0.93,0.92,,0.79,0.14,0.86,115.64,0.89,0.92,,0.62,0.84,0.89,0.92,,0.72,0.72,0.62,0.86,1.16,0.33
S1272_866 (2).tif,407.93,10651,106.25,115.95,365.85,115,91.63,141,114,116.45,405,10912,408.76,129.49,106.41,142.39,106.25,115.95,143,,1.12,0.92,0.86,1.26,,0.8,1.22,1,0.98,,0.9,0.19,0.81,116.45,0.99,0.98,,0.8,0.82,0.99,0.98,,0.67,0.86,0.8,0.92,1.09,0.47
S1272_894.tif,505.87,12582,119.7,132.71,397.63,130,98.55,152,129,126.57,460.09,13939,466.89,139.39,119.95,158.15,119.7,132.71,159,,1.27,1,0.79,1.32,,0.62,1.16,0.92,0.9,,0.79,0.15,0.85,126.57,0.91,0.9,,0.62,0.86,0.91,0.9,,0.64,0.79,0.62,0.9,1.11,0.31
S1272_896 (3).tif,457.16,11386,123,128,378.26,123,89.88,152,107,120.4,421.75,12107,424.99,147.94,99.22,152.4,123,128,153,,1.21,0.91,0.72,1.37,,0.68,1.49,0.93,0.94,,0.83,0.3,0.7,120.4,0.92,0.94,,0.68,0.67,0.92,0.94,,0.62,0.72,0.68,0.96,1.04,0.31
S1272_912 (2).tif,539.67,13395,108.67,186.94,410.28,184,71.3,186,109,130.6,503.75,15083,528.49,186.55,102.38,189.4,108.67,186.94,190,,1.32,0.91,0.66,2.58,,0.58,1.82,0.98,0.89,,0.76,0.41,0.59,130.6,0.93,0.89,,0.58,0.55,0.93,0.89,,0.48,0.66,0.58,0.58,1.72,0.18
S1283_1000.tif,469,11586,101.95,166.83,381.57,164,69.08,168,101,121.46,451.2,12580,455.36,157.99,96.04,168.01,101.95,166.83,169,,1.23,0.87,0.68,2.37,,0.66,1.65,0.97,0.92,,0.81,0.4,0.6,121.46,0.96,0.92,,0.66,0.61,0.96,0.92,,0.52,0.68,0.66,0.61,1.64,0.24
S1283_1046.tif,384.37,6786,68.71,135.45,292.02,135,49.72,135,69,92.95,365.55,7643,377.34,138.07,67.39,136.7,68.71,135.45,138,,1.32,0.94,0.73,2.72,,0.58,2.05,0.98,0.89,,0.76,0.49,0.51,92.95,0.95,0.89,,0.58,0.49,0.95,0.89,,0.46,0.73,0.58,0.51,1.97,0.19
S1283_1062 (3).tif,386.96,7667,98.19,107.25,310.4,102,71.71,124,104,98.8,357.55,8504,370.09,113.16,90.62,124.02,98.19,107.25,125,,1.25,0.94,0.73,1.42,,0.64,1.25,0.96,0.9,,0.8,0.16,0.84,98.8,0.92,0.9,,0.64,0.8,0.92,0.9,,0.63,0.73,0.64,0.92,1.09,0.3
S1283_1070.tif,443,11027,87.07,168.34,372.25,164,65.27,171,88,118.49,436.56,11430,464.81,171.62,83.71,172.24,87.07,168.34,173,,1.19,0.87,0.75,2.51,,0.71,2.05,1.05,0.96,,0.84,0.49,0.51,118.49,0.99,0.96,,0.71,0.49,0.99,0.96,,0.47,0.75,0.71,0.52,1.93,0.25
S1283_1078.tif,367.16,6243,84.77,94.15,280.09,95,66.21,94,92,89.16,316.05,6830,320.53,96.04,86.02,107.21,84.77,94.15,108,,1.31,1.03,0.78,1.43,,0.58,1.12,0.87,0.91,,0.76,0.02,0.98,89.16,0.86,0.91,,0.58,0.9,0.86,0.91,,0.69,0.78,0.58,0.9,1.11,0.31
S1283_1088.tif,433.55,11675,111.63,127.76,383.03,129,90.94,128,111,121.92,427.3,12130,427.97,133.12,114.27,139.66,111.63,127.76,139,,1.13,0.91,0.82,1.42,,0.78,1.17,0.99,0.96,,0.88,0.13,0.87,121.92,0.99,0.96,,0.78,0.86,0.99,0.96,,0.76,0.82,0.78,0.87,1.14,0.49
S1283_1092.tif,473.63,6991,68.74,176.51,296.4,177,39.62,176,70,94.35,432.66,8501,474.01,176.21,60.72,177.02,68.74,176.51,178,,1.6,0.97,0.58,4.47,,0.39,2.9,1,0.82,,0.63,0.6,0.4,94.35,0.91,0.82,,0.39,0.34,0.91,0.82,,0.28,0.58,0.39,0.39,2.57,0.06
S1283_946 (2).tif,402.68,7874,90.72,120.81,314.56,119,65.47,119,94,100.13,353.02,8670,359.58,118.31,86.81,121.55,90.72,120.81,122,,1.28,0.95,0.72,1.82,,0.61,1.36,0.89,0.91,,0.78,0.21,0.79,100.13,0.88,0.91,,0.61,0.73,0.88,0.91,,0.68,0.72,0.61,0.75,1.33,0.3
S1283_946.tif,447.49,10238,114.85,118.14,358.68,118,87.72,129,118,114.17,409.35,11160,426.21,118.49,116.2,137.16,114.85,118.14,134,,1.25,0.96,0.75,1.35,,0.64,1.02,0.95,0.92,,0.8,0.09,0.91,114.17,0.91,0.92,,0.64,0.98,0.91,0.92,,0.69,0.75,0.64,0.97,1.03,0.34
S1283_958 (2).tif,760.62,18037,164.13,177.31,476.09,167,105.35,220,151,151.54,599.63,22254,618.51,200.56,128.31,222.46,164.13,177.31,223,,1.6,1.11,0.62,1.59,,0.39,1.56,0.81,0.81,,0.63,0.31,0.69,151.54,0.79,0.81,,0.39,0.64,0.79,0.81,,0.46,0.62,0.39,0.93,1.08,0.11
S1283_972 (2).tif,448.88,10324,77.19,159.67,360.19,154,64.45,163,80,114.65,436.88,10924,450.99,170.49,79.88,168.32,77.19,159.67,169,,1.25,0.95,0.84,2.39,,0.64,2.13,1,0.95,,0.8,0.51,0.49,114.65,0.97,0.95,,0.64,0.47,0.97,0.95,,0.46,0.84,0.64,0.48,2.07,0.25
S1283_974.tif,530.64,12318,109.6,156.98,393.44,138,78.94,171,113,125.23,456.94,13629,462.83,154.58,103.68,172.68,109.6,156.98,174,,1.35,1,0.72,1.75,,0.55,1.49,0.87,0.9,,0.74,0.34,0.66,125.23,0.86,0.9,,0.55,0.67,0.86,0.9,,0.53,0.72,0.55,0.7,1.43,0.21
S1283_986.tif,413.16,9712,109,124.97,349.35,119,77.21,141,102,111.2,399.02,10445,394.72,134.66,93.23,141.91,109,124.97,143,,1.18,0.88,0.71,1.54,,0.71,1.44,0.96,0.93,,0.85,0.28,0.72,111.2,0.97,0.93,,0.71,0.69,0.97,0.93,,0.61,0.71,0.71,0.87,1.15,0.31
